METRICA|VALOR|MODELO|TIPO_DE_DATOS|CARRERA|SEMESTRE
Mejores Hiperparametros|Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 600, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}, Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}|VotingSoft|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|81.65|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|82.2|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.72|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|82.2|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|49.74|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|69.94|StackingLineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|94.87|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|94.96|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|94.82|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|94.96|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|81.92|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|91.73|StackingLineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|Estimador: Adaboost, Hiperparametros: {'algorithm': 'SAMME.R', 'estimator': None, 'learning_rate': 0.0005, 'n_estimators': 1, 'random_state': None}, Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}|StackingLineal|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|81.11|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.69|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.66|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.69|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.61|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|69.49|Stackingnolineal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|92.87|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|92.69|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|92.24|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|92.69|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|76.12|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|87.79|Stackingnolineal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}|Stackingnolineal|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|79.87|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|80.81|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|79.32|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|80.81|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|47.33|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|67.55|VotingWeighted|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|91.6|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|91.72|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|90.77|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|91.72|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|74.99|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|86.1|VotingWeighted|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|80.54|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.69|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.24|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.69|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|48.38|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|69.33|SuperAprendiz|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|97.5|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|97.56|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|97.47|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|97.56|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|91.42|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|96.05|SuperAprendiz|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}, Estimador: Gradient, Hiperparametros: {'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': 0.05, 'loss': 'log_loss', 'max_depth': 3, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 600, 'n_iter_no_change': None, 'random_state': None, 'subsample': 1.0, 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}|SuperAprendiz|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|78.89|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|81.94|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|80.09|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|81.94|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|49.48|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|69.44|SuperAprendizdoscapas|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|87.23|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|91.34|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|89.18|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|91.34|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|74.48|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|85.5|SuperAprendizdoscapas|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Mejores Hiperparametros|Estimador: Extratrees, Hiperparametros: {'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Random Forest, Hiperparametros: {'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 7, 'min_samples_split': 3, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Bagging, Hiperparametros: {'bootstrap': True, 'bootstrap_features': True, 'estimator': None, 'max_features': 0.8, 'max_samples': 0.7, 'n_estimators': 750, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}, Estimador: Decision tree, Hiperparametros: {'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 6, 'max_features': 2, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 1, 'splitter': 'best'}|SuperAprendizdoscapas|Hiperparametros del modelo|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|75.09|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|78.16|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|75.94|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|78.16|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|40.8|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|62.47|RedNeuronal|Prueba|INDUSTRIAL|SEGUNDO_SEMESTRE
Precision|74.18|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exhaustividad|78.02|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Puntuacion F1|75.66|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Exactitud|78.02|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Informacion Mutua Normalizada (NMI)|41.45|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Indice Kappa de Cohen|62.02|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
Hiperparametros|input_size=18, hidden_size=155, num_classes=5, num_epochs=100, learning_rate=0.0015|RedNeuronal|Entrenamiento|INDUSTRIAL|SEGUNDO_SEMESTRE
